{'ep': 0, 'logstd': array([[0.]], dtype=float32), 'timesteps': 4, 'ep_reward': 4.0, 'episodes': 0}
{'ep': 100, 'logstd': array([[0.]], dtype=float32), 'timesteps': 87, 'ep_reward': 87.0, 'episodes': 100}
{'ep': 200, 'logstd': array([[0.]], dtype=float32), 'timesteps': 606, 'ep_reward': 606.0, 'episodes': 200}
{'ep': 300, 'logstd': array([[0.]], dtype=float32), 'timesteps': 1000, 'ep_reward': 1000.0, 'episodes': 300}
{'ep': 400, 'logstd': array([[0.]], dtype=float32), 'timesteps': 1000, 'ep_reward': 1000.0, 'episodes': 400}
{'ep': 500, 'logstd': array([[0.]], dtype=float32), 'timesteps': 1000, 'ep_reward': 1000.0, 'episodes': 500}
{'ep': 600, 'logstd': array([[0.]], dtype=float32), 'timesteps': 1000, 'ep_reward': 1000.0, 'episodes': 600}
{'ep': 700, 'logstd': array([[0.]], dtype=float32), 'timesteps': 1000, 'ep_reward': 1000.0, 'episodes': 700}
{'ep': 800, 'logstd': array([[0.]], dtype=float32), 'timesteps': 1000, 'ep_reward': 1000.0, 'episodes': 800}
{'ep': 900, 'logstd': array([[0.]], dtype=float32), 'timesteps': 1000, 'ep_reward': 1000.0, 'episodes': 900}
