[97m[1mLoaded bsuite_id: deep_sea/0.
Episode: 98, Episode length: 10, Episode reward: 0.99
Episode: 99, Episode length: 10, Episode reward: 0.99
Episode: 100, Episode length: 10, Episode reward: 0.99
Episode: 101, Episode length: 10, Episode reward: 0.99
Episode: 102, Episode length: 10, Episode reward: 0.99
Episode: 103, Episode length: 10, Episode reward: 0.99
Episode: 104, Episode length: 10, Episode reward: 0.99
Episode: 105, Episode length: 10, Episode reward: 0.99
Episode: 106, Episode length: 10, Episode reward: -0.009000000000000001
Episode: 107, Episode length: 10, Episode reward: 0.99
Episode: 108, Episode length: 10, Episode reward: 0.99
Episode: 109, Episode length: 10, Episode reward: 0.99
Episode: 110, Episode length: 10, Episode reward: 0.99
Episode: 111, Episode length: 10, Episode reward: 0.99
Episode: 112, Episode length: 10, Episode reward: 0.99
Episode: 113, Episode length: 10, Episode reward: 0.99
Episode: 114, Episode length: 10, Episode reward: 0.99
Episode: 115, Episode length: 10, Episode reward: 0.99
Episode: 116, Episode length: 10, Episode reward: 0.99
Episode: 117, Episode length: 10, Episode reward: 0.99
Episode: 118, Episode length: 10, Episode reward: 0.99
Episode: 119, Episode length: 10, Episode reward: 0.99
Episode: 120, Episode length: 10, Episode reward: 0.99
Episode: 121, Episode length: 10, Episode reward: -0.008
Episode: 122, Episode length: 10, Episode reward: -0.005
Episode: 123, Episode length: 10, Episode reward: 0.99
Episode: 124, Episode length: 10, Episode reward: 0.99
Episode: 125, Episode length: 10, Episode reward: 0.99
Episode: 126, Episode length: 10, Episode reward: 0.99
Episode: 127, Episode length: 10, Episode reward: 0.99
Episode: 128, Episode length: 10, Episode reward: 0.99
Episode: 129, Episode length: 10, Episode reward: -0.006
Episode: 130, Episode length: 10, Episode reward: -0.005
Episode: 131, Episode length: 10, Episode reward: 0.99
Episode: 132, Episode length: 10, Episode reward: 0.99
Episode: 133, Episode length: 10, Episode reward: 0.99
Episode: 134, Episode length: 10, Episode reward: -0.007
Episode: 135, Episode length: 10, Episode reward: 0.99
Episode: 136, Episode length: 10, Episode reward: 0.99
Episode: 137, Episode length: 10, Episode reward: 0.99
Episode: 138, Episode length: 10, Episode reward: 0.99
Episode: 139, Episode length: 10, Episode reward: -0.008
