[97m[1mLoaded bsuite_id: deep_sea/0.
Episode: 307, Episode length: 10, Episode reward: -0.005
Episode: 308, Episode length: 10, Episode reward: -0.007
Episode: 309, Episode length: 10, Episode reward: -0.005
Episode: 310, Episode length: 10, Episode reward: -0.008
Episode: 311, Episode length: 10, Episode reward: -0.005
Episode: 312, Episode length: 10, Episode reward: -0.007
Episode: 313, Episode length: 10, Episode reward: -0.008
Episode: 314, Episode length: 10, Episode reward: -0.002
Episode: 315, Episode length: 10, Episode reward: -0.005
Episode: 316, Episode length: 10, Episode reward: -0.007
Episode: 317, Episode length: 10, Episode reward: -0.007
Episode: 318, Episode length: 10, Episode reward: -0.002
Episode: 319, Episode length: 10, Episode reward: -0.007
Episode: 320, Episode length: 10, Episode reward: -0.004
Episode: 321, Episode length: 10, Episode reward: -0.006
Episode: 322, Episode length: 10, Episode reward: -0.005
Episode: 323, Episode length: 10, Episode reward: -0.004
Episode: 324, Episode length: 10, Episode reward: -0.005
Episode: 325, Episode length: 10, Episode reward: -0.006
Episode: 326, Episode length: 10, Episode reward: -0.005
Episode: 327, Episode length: 10, Episode reward: -0.006
Episode: 328, Episode length: 10, Episode reward: -0.005
Episode: 329, Episode length: 10, Episode reward: -0.005
Episode: 330, Episode length: 10, Episode reward: -0.003
Episode: 331, Episode length: 10, Episode reward: -0.005
Episode: 332, Episode length: 10, Episode reward: -0.008
Episode: 333, Episode length: 10, Episode reward: -0.005
Episode: 334, Episode length: 10, Episode reward: -0.007
Episode: 335, Episode length: 10, Episode reward: -0.007
Episode: 336, Episode length: 10, Episode reward: -0.007
Episode: 337, Episode length: 10, Episode reward: -0.005
Episode: 338, Episode length: 10, Episode reward: -0.008
Episode: 339, Episode length: 10, Episode reward: -0.006
Episode: 340, Episode length: 10, Episode reward: -0.004
Episode: 341, Episode length: 10, Episode reward: -0.004
Episode: 342, Episode length: 10, Episode reward: -0.004
Episode: 343, Episode length: 10, Episode reward: -0.006
Episode: 344, Episode length: 10, Episode reward: -0.005
Episode: 345, Episode length: 10, Episode reward: -0.005
Episode: 346, Episode length: 10, Episode reward: -0.004
Episode: 347, Episode length: 10, Episode reward: -0.005
Episode: 348, Episode length: 10, Episode reward: -0.003
Episode: 349, Episode length: 10, Episode reward: -0.005
Episode: 350, Episode length: 10, Episode reward: -0.006
Episode: 351, Episode length: 10, Episode reward: -0.006
Episode: 352, Episode length: 10, Episode reward: -0.006
Episode: 353, Episode length: 10, Episode reward: -0.005
Episode: 354, Episode length: 10, Episode reward: -0.007
Episode: 355, Episode length: 10, Episode reward: -0.003
Episode: 356, Episode length: 10, Episode reward: -0.004
Episode: 357, Episode length: 10, Episode reward: -0.007
Episode: 358, Episode length: 10, Episode reward: -0.005
Episode: 359, Episode length: 10, Episode reward: -0.004
Episode: 360, Episode length: 10, Episode reward: -0.005
Episode: 361, Episode length: 10, Episode reward: -0.006
Episode: 362, Episode length: 10, Episode reward: -0.005
Episode: 363, Episode length: 10, Episode reward: -0.005
Episode: 364, Episode length: 10, Episode reward: -0.004
Episode: 365, Episode length: 10, Episode reward: -0.001
Episode: 366, Episode length: 10, Episode reward: -0.003
Episode: 367, Episode length: 10, Episode reward: -0.005
