{'ep': 0, 'timesteps': 6, 'ep_reward': 6.0}
{'ep': 100, 'timesteps': 6, 'ep_reward': 6.0}
{'ep': 200, 'timesteps': 24, 'ep_reward': 24.0}
{'ep': 300, 'timesteps': 51, 'ep_reward': 51.0}
{'ep': 400, 'timesteps': 72, 'ep_reward': 72.0}
{'ep': 500, 'timesteps': 83, 'ep_reward': 83.0}
{'ep': 600, 'timesteps': 242, 'ep_reward': 242.0}
{'ep': 700, 'timesteps': 60, 'ep_reward': 60.0}
{'ep': 800, 'timesteps': 101, 'ep_reward': 101.0}
{'ep': 900, 'timesteps': 440, 'ep_reward': 440.0}
{'ep': 1000, 'timesteps': 1000, 'ep_reward': 1000.0}
{'ep': 1100, 'timesteps': 1000, 'ep_reward': 1000.0}
{'ep': 1200, 'timesteps': 130, 'ep_reward': 130.0}
{'ep': 1300, 'timesteps': 1000, 'ep_reward': 1000.0}
{'ep': 1400, 'timesteps': 1000, 'ep_reward': 1000.0}
{'ep': 1500, 'timesteps': 1000, 'ep_reward': 1000.0}
{'ep': 1600, 'timesteps': 1000, 'ep_reward': 1000.0}
{'ep': 1700, 'timesteps': 311, 'ep_reward': 311.0}
{'ep': 1800, 'timesteps': 288, 'ep_reward': 288.0}
{'ep': 1900, 'timesteps': 457, 'ep_reward': 457.0}
{'ep': 2000, 'timesteps': 1000, 'ep_reward': 1000.0}
